geo_point_2d,geo_shape,central_asset_id,feature_location,type
"-37.59732531, 143.841321","{""coordinates"": [143.841321, -37.59732531], ""type"": ""Point""}",00326001,Bike Rack - Sebastopol Office (Outside front of building),Stainless steel hoop
"-37.59734844, 143.84169198","{""coordinates"": [143.84169198, -37.59734844], ""type"": ""Point""}",00326002,Bike Rack- Sebastopol Offices (Rear of the Library),
"-37.56508002, 143.86256064","{""coordinates"": [143.86256064, -37.56508002], ""type"": ""Point""}",00234077,Bike Rack - Albert H Graham Reserve,
"-37.55691711, 143.79994998","{""coordinates"": [143.79994998, -37.55691711], ""type"": ""Point""}",00227654,Bike Rack - Alfredton Recreation Reserve,
"-37.65069846, 143.88458526","{""coordinates"": [143.88458526, -37.65069846], ""type"": ""Point""}",00227876,Bike Rack - Buninyong Municipal Reserve,
"-37.53714699, 143.84179008","{""coordinates"": [143.84179008, -37.53714699], ""type"": ""Point""}",00212537,Bike Rack - Charles Edward Brown Reserve,
"-37.53691902, 143.84137392","{""coordinates"": [143.84137392, -37.53691902], ""type"": ""Point""}",00212539,Bike Rack - Charles Edward Brown Reserve,
"-37.55219103, 143.84448108","{""coordinates"": [143.84448108, -37.55219103], ""type"": ""Point""}",00334870,Bike Rack - Lake Wendouree (Outside Ballarat City Rowing Club),Spiral type 5 hoops
"-37.54028403, 143.85944304","{""coordinates"": [143.85944304, -37.54028403], ""type"": ""Point""}",00257500,Bike Rack - Midlands Reserve (Aquatic Playspace),
"-37.56316005, 143.85613806","{""coordinates"": [143.85613806, -37.56316005], ""type"": ""Point""}",00213390,Bike Rack - Phoenix Foundry Mall,
"-37.56308139, 143.85594348","{""coordinates"": [143.85594348, -37.56308139], ""type"": ""Point""}",00225582,Bike Rack - Phoenix Foundry Mall,
"-37.56314475, 143.85615804","{""coordinates"": [143.85615804, -37.56314475], ""type"": ""Point""}",00225603,Bike Rack - Phoenix Foundry Mall,
"-37.59727905, 143.84097792","{""coordinates"": [143.84097792, -37.59727905], ""type"": ""Point""}",00256715,Bike Rack - Albert Street (Outside Furniture Shop),
"-37.55980881, 143.8566075","{""coordinates"": [143.8566075, -37.55980881], ""type"": ""Point""}",00225302,Bike Rack - Armstrong Street North,
"-37.56506706, 143.85561696","{""coordinates"": [143.85561696, -37.56506706], ""type"": ""Point""}",00256841,Bike Rack - Armstrong Street South (Outside St Lawrence),
"-37.560051, 143.84443986","{""coordinates"": [143.84443986, -37.560051], ""type"": ""Point""}",00256705,Bike Rack - Ascot Street North (Outside Australia Post),
"-37.56266604, 143.86411404","{""coordinates"": [143.86411404, -37.56266604], ""type"": ""Point""}",00256828,Bike Rack - Bridge Mall (Outside S Three Promotions),
"-37.56138183, 143.8592886","{""coordinates"": [143.8592886, -37.56138183], ""type"": ""Point""}",00225508,Bike Rack - Camp Street,
"-37.56404205, 143.854767","{""coordinates"": [143.854767, -37.56404205], ""type"": ""Point""}",00256816,Bike Rack - Dana Street (Outside Smith and Jennings),
"-37.55932569, 143.8551684","{""coordinates"": [143.8551684, -37.55932569], ""type"": ""Point""}",00224325,Bike Rack - Dawson Street North (Outside Peter Labor Hotel),Stainless steel Hoop
"-37.55965851, 143.85523302","{""coordinates"": [143.85523302, -37.55965851], ""type"": ""Point""}",00225238,Bike Rack - Doveton Street North,
"-37.5493617, 143.85718944","{""coordinates"": [143.85718944, -37.5493617], ""type"": ""Point""}",00252425,Bike Rack - Doveton Street North (Gove Cycles),
"-37.56115665, 143.847423","{""coordinates"": [143.847423, -37.56115665], ""type"": ""Point""}",00224356,Bike Rack - Drummond Street South (Outside Lapochetta),Stainless steel hoop
"-37.53379872, 143.83866528","{""coordinates"": [143.83866528, -37.53379872], ""type"": ""Point""}",00224107,Bike Rack - Grandview Grove,Stainless single hoop
"-37.5675156, 143.8586946","{""coordinates"": [143.8586946, -37.5675156], ""type"": ""Point""}",00225073,Bike Rack - Grant Street,
"-37.55943495, 143.8672041","{""coordinates"": [143.8672041, -37.55943495], ""type"": ""Point""}",00305014,Bike Rack - Humffray Street North (Outside Eastern Hotel),
"-37.5629535, 143.85935844","{""coordinates"": [143.85935844, -37.5629535], ""type"": ""Point""}",00225087,Bike Rack - Lewis Street,
"-37.55996091, 143.85816702","{""coordinates"": [143.85816702, -37.55996091], ""type"": ""Point""}",00225324,Bike Rack - Lydiard Street North,
"-37.55945295, 143.85825918","{""coordinates"": [143.85825918, -37.55945295], ""type"": ""Point""}",00225333,Bike Rack - Lydiard Street North,
"-37.56056796, 143.85800304","{""coordinates"": [143.85800304, -37.56056796], ""type"": ""Point""}",00256301,Bike Rack - Lydiard Street North (Outside Ballarat Art Gallery),
"-37.55956212, 143.8560297","{""coordinates"": [143.8560297, -37.55956212], ""type"": ""Point""}",00224327,Bike Rack - Mair Street (Outside Cycle City),Stainless steel hoop
"-37.55927763, 143.8548948","{""coordinates"": [143.8548948, -37.55927763], ""type"": ""Point""}",00225229,Bike Rack - Mair Street,
"-37.56026862, 143.86394916","{""coordinates"": [143.86394916, -37.56026862], ""type"": ""Point""}",00224335,Bike Rack - Mair Street East (Outside Freight Bar Hotel),Stainless steel hoop
"-37.56049389, 143.86349268","{""coordinates"": [143.86349268, -37.56049389], ""type"": ""Point""}",00224339,Bike Rack - Mair Street East (Outside Center Com Computers),Stainless steel hoop
"-37.56036627, 143.86400946","{""coordinates"": [143.86400946, -37.56036627], ""type"": ""Point""}",00225387,Bike Rack - Mair Street East,
"-37.55798712, 143.8567866","{""coordinates"": [143.8567866, -37.55798712], ""type"": ""Point""}",00225288,Bike Rack - Market Street,
"-37.56157947, 143.85377394","{""coordinates"": [143.85377394, -37.56157947], ""type"": ""Point""}",00224344,Bike Rack - Sturt Street (Outside Gallery on Sturt),Stainless steel hoop
"-37.56115728, 143.85373524","{""coordinates"": [143.85373524, -37.56115728], ""type"": ""Point""}",00224349,Bike Rack - Sturt Street (Outside Hayden Real Estate),Stainless steel hoop
"-37.56076326, 143.845713","{""coordinates"": [143.845713, -37.56076326], ""type"": ""Point""}",00224354,Bike Rack - Sturt Street (Outside National Australia Bank),Stainless steel hoop
"-37.56141351, 143.85160458","{""coordinates"": [143.85160458, -37.56141351], ""type"": ""Point""}",00224361,Bike Rack - Sturt Street (Outside Titheridge Real Estate),Stainless steel hoop
"-37.56175857, 143.8537293","{""coordinates"": [143.8537293, -37.56175857], ""type"": ""Point""}",00224362,Bike Rack - Sturt Street (Outside Bakery on Sturt),Stainless steel hoop
"-37.55987154, 143.84180862","{""coordinates"": [143.84180862, -37.55987154], ""type"": ""Point""}",00224365,Bike Rack - Sturt Street (Outside 1220 Building),Stainless steel hoop
"-37.56021201, 143.84232018","{""coordinates"": [143.84232018, -37.56021201], ""type"": ""Point""}",00224394,Bike Rack - Sturt Street (Outside the Cheesecake Shop),Stainless steel hoop
"-37.56019833, 143.84527578","{""coordinates"": [143.84527578, -37.56019833], ""type"": ""Point""}",00224399,Bike Rack - Sturt Street (Outside Priceline Chemist),Stainless steel hoop
"-37.56246246, 143.86040226","{""coordinates"": [143.86040226, -37.56246246], ""type"": ""Point""}",00224779,Bike Rack - Sturt Street,
"-37.56236823, 143.85955662","{""coordinates"": [143.85955662, -37.56236823], ""type"": ""Point""}",00224783,Bike Rack - Sturt Street,
"-37.56225996, 143.8587198","{""coordinates"": [143.8587198, -37.56225996], ""type"": ""Point""}",00224787,Bike Rack - Sturt Street,
"-37.56213126, 143.85736278","{""coordinates"": [143.85736278, -37.56213126], ""type"": ""Point""}",00224792,Bike Rack - Sturt Street,
"-37.56147201, 143.85164274","{""coordinates"": [143.85164274, -37.56147201], ""type"": ""Point""}",00224824,Bike Rack - Sturt Street,
"-37.56136068, 143.850762","{""coordinates"": [143.850762, -37.56136068], ""type"": ""Point""}",00224827,Bike Rack - Sturt Street,
"-37.56131289, 143.85018978","{""coordinates"": [143.85018978, -37.56131289], ""type"": ""Point""}",00224832,Bike Rack - Sturt Street,
"-37.56116025, 143.84919618","{""coordinates"": [143.84919618, -37.56116025], ""type"": ""Point""}",00224835,Bike Rack - Sturt Street,
"-37.56109446, 143.84854584","{""coordinates"": [143.84854584, -37.56109446], ""type"": ""Point""}",00224838,Bike Rack - Sturt Street,
"-37.56031227, 143.84160072","{""coordinates"": [143.84160072, -37.56031227], ""type"": ""Point""}",00224876,Bike Rack - Sturt Street,
"-37.56021885, 143.84098926","{""coordinates"": [143.84098926, -37.56021885], ""type"": ""Point""}",00224889,Bike Rack - Sturt Street,
"-37.56036888, 143.8467534","{""coordinates"": [143.8467534, -37.56036888], ""type"": ""Point""}",00224925,Bike Rack - Sturt Street,
"-37.56039993, 143.8467426","{""coordinates"": [143.8467426, -37.56039993], ""type"": ""Point""}",00224926,Bike Rack - Sturt Street,
"-37.56087243, 143.8506801","{""coordinates"": [143.8506801, -37.56087243], ""type"": ""Point""}",00224938,Bike Rack - Sturt Street,
"-37.56240603, 143.85927204","{""coordinates"": [143.85927204, -37.56240603], ""type"": ""Point""}",00238914,Bike Rack - Sturt Street (Outside Gold Monument),
"-37.56189294, 143.85515796","{""coordinates"": [143.85515796, -37.56189294], ""type"": ""Point""}",00256826,Bike Rack - Sturt Street (Outside Four Seasons Juice Bar),
"-37.56091797, 143.8462791","{""coordinates"": [143.8462791, -37.56091797], ""type"": ""Point""}",00256855,Bike Rack - Sturt Street,
"-37.55508588, 143.80017264","{""coordinates"": [143.80017264, -37.55508588], ""type"": ""Point""}",00227697,Bike Rack - Alfredton Recreation Reserve,
"-37.53722196, 143.8417971","{""coordinates"": [143.8417971, -37.53722196], ""type"": ""Point""}",00212538,Bike Rack - Charles Edward Brown Reserve,
"-37.54734966, 143.82324918","{""coordinates"": [143.82324918, -37.54734966], ""type"": ""Point""}",00212806,Bike Rack - Lake Wendouree Reserve,
"-37.54367802, 143.83055502","{""coordinates"": [143.83055502, -37.54367802], ""type"": ""Point""}",00212807,Bike Rack - Lake Wendouree Reserve,
"-37.55270799, 143.84411802","{""coordinates"": [143.84411802, -37.55270799], ""type"": ""Point""}",00212808,Bike Rack - Lake Wendouree Reserve,
"-37.56314079, 143.85596616","{""coordinates"": [143.85596616, -37.56314079], ""type"": ""Point""}",00213376,Bike Rack - Phoenix Foundry Mall,
"-37.55048499, 143.818695","{""coordinates"": [143.818695, -37.55048499], ""type"": ""Point""}",00213453,Bike Rack - Prince of Wales Park,
"-37.56410802, 143.858799","{""coordinates"": [143.858799, -37.56410802], ""type"": ""Point""}",00256745,Bike Rack - Albert Street (Eureka Medical Centre),
"-37.56052863, 143.8565796","{""coordinates"": [143.8565796, -37.56052863], ""type"": ""Point""}",00224608,Bike Rack - Armstrong Street North,
"-37.56146724, 143.85640518","{""coordinates"": [143.85640518, -37.56146724], ""type"": ""Point""}",00224610,Bike Rack - Armstrong Street North,
"-37.5576138, 143.85696732","{""coordinates"": [143.85696732, -37.5576138], ""type"": ""Point""}",00225285,Bike Rack - Armstrong Street North,
"-37.5606612, 143.85645738","{""coordinates"": [143.85645738, -37.5606612], ""type"": ""Point""}",00225305,Bike Rack - Armstrong Street North,
"-37.56361833, 143.85581964","{""coordinates"": [143.85581964, -37.56361833], ""type"": ""Point""}",00225541,Bike Rack - Armstrong Street South,
"-37.56366882, 143.85579624","{""coordinates"": [143.85579624, -37.56366882], ""type"": ""Point""}",00212263,Bike Rack - Armstrong Street South,
"-37.56264903, 143.86519656","{""coordinates"": [143.86519656, -37.56264903], ""type"": ""Point""}",00225184,Bike Rack - Bridge Mall,
"-37.56263814, 143.86519602","{""coordinates"": [143.86519602, -37.56263814], ""type"": ""Point""}",00225185,Bike Rack - Bridge Mall,
"-37.54385739, 143.78400846","{""coordinates"": [143.78400846, -37.54385739], ""type"": ""Point""}",00317472,Bike Rack - Coltman Plaza,
"-37.54374588, 143.78395302","{""coordinates"": [143.78395302, -37.54374588], ""type"": ""Point""}",00317477,Bike Rack - Coltman Plaza,
"-37.56198195, 143.86384296","{""coordinates"": [143.86384296, -37.56198195], ""type"": ""Point""}",00238943,Bike Rack - Curtis Street (Outside 79-81),
"-37.56235419, 143.8532217","{""coordinates"": [143.8532217, -37.56235419], ""type"": ""Point""}",00224986,Bike Rack - Dawson Street South,
"-37.55960937, 143.85523662","{""coordinates"": [143.85523662, -37.55960937], ""type"": ""Point""}",00225239,Bike Rack - Dawson Street North,
"-37.53012555, 143.83182222","{""coordinates"": [143.83182222, -37.53012555], ""type"": ""Point""}",00224122,Bike Rack - Harold Street,Single s/steel hoop 18-10-13
"-37.54023606, 143.82984906","{""coordinates"": [143.82984906, -37.54023606], ""type"": ""Point""}",00240870,Bike Rack - Howitt Street (Opposite Woolworths),
"-37.54023048, 143.82894132","{""coordinates"": [143.82894132, -37.54023048], ""type"": ""Point""}",00317177,Bike Rck - Howitt Street (Outside Hopscotch Cafe),Hoop style
"-37.65043926, 143.8854003","{""coordinates"": [143.8854003, -37.65043926], ""type"": ""Point""}",00225747,Bike Rack - Learmonth St Buninyong (Nth) (In front of FoodWorks),
"-37.6502256, 143.88485616","{""coordinates"": [143.88485616, -37.6502256], ""type"": ""Point""}",00225752,Bike Rack - Learmonth St (Nth) Buninyong (In front of Yummy Kitchen),
"-37.65007818, 143.88437862","{""coordinates"": [143.88437862, -37.65007818], ""type"": ""Point""}",00225756,Bike Rack - Learmonth St (Nth) Buninyong (In front of Pizza Shop),
"-37.650708, 143.88480414","{""coordinates"": [143.88480414, -37.650708], ""type"": ""Point""}",00225742,Bike Rack - Learmonth St (Sth) Buninyong (Buninyong Town Hall),
"-37.5604362, 143.85808422","{""coordinates"": [143.85808422, -37.5604362], ""type"": ""Point""}",00224598,Bike Rack - Lydiard Street North,
"-37.56368097, 143.85756996","{""coordinates"": [143.85756996, -37.56368097], ""type"": ""Point""}",00256736,Bike Rack - Lydiard Street South (Outside Anglican Church),
"-37.55961396, 143.85781782","{""coordinates"": [143.85781782, -37.55961396], ""type"": ""Point""}",00224330,Bike Rack - Mair Street (Outside Department of Justice),Stainless steel hoop
"-37.5604578, 143.86341294","{""coordinates"": [143.86341294, -37.5604578], ""type"": ""Point""}",00225391,Bike Rack - Mair Street East,
"-37.56063429, 143.84858562","{""coordinates"": [143.84858562, -37.56063429], ""type"": ""Point""}",00224352,Bike Rack - Sturt Street (Outside the Turret),Stainless steel hoop
"-37.56037464, 143.84668194","{""coordinates"": [143.84668194, -37.56037464], ""type"": ""Point""}",00224353,Bike Rack - Sturt Street (Outside Ballarat Regional Cancer Centre),Stainless steel hoop
"-37.56115719, 143.84923542","{""coordinates"": [143.84923542, -37.56115719], ""type"": ""Point""}",00224358,Bike Rack - Sturt Street (Outside First National),Stainless steel hoop
"-37.56131838, 143.85008592","{""coordinates"": [143.85008592, -37.56131838], ""type"": ""Point""}",00224359,Bike Rack - Sturt Street (Outside Subway Food),Stainless steel hoop
"-37.56021075, 143.84090106","{""coordinates"": [143.84090106, -37.56021075], ""type"": ""Point""}",00224388,Bike Rack - Sturt Street (Outside Sports Central),Stainless steel hoop
"-37.5607773, 143.84565828","{""coordinates"": [143.84565828, -37.5607773], ""type"": ""Point""}",00224398,Bike Rack -Sturt Street (Outside Nab),Stainless steel hoop
"-37.56173094, 143.8538022","{""coordinates"": [143.8538022, -37.56173094], ""type"": ""Point""}",00224815,Bike Rack - Sturt Street,
"-37.55961045, 143.83948698","{""coordinates"": [143.83948698, -37.55961045], ""type"": ""Point""}",00224895,Bike Rack - Sturt Street,
"-37.56066237, 143.84858688","{""coordinates"": [143.84858688, -37.56066237], ""type"": ""Point""}",00224933,Bike Rack - Sturt Street,
"-37.56209499, 143.86049136","{""coordinates"": [143.86049136, -37.56209499], ""type"": ""Point""}",00224977,Bike Rack - Sturt Street,
"-37.56082203, 143.849916","{""coordinates"": [143.849916, -37.56082203], ""type"": ""Point""}",00256822,Bike Rack - Sturt Street (Outside 706 Sturt),
"-37.56195, 143.85595608","{""coordinates"": [143.85595608, -37.56195], ""type"": ""Point""}",00256827,Bike Rack - Sturt Street (Outside Myer),
"-37.56501, 143.88335352","{""coordinates"": [143.88335352, -37.56501], ""type"": ""Point""}",00212696,Bike Rack - Eureka Stockade,
"-37.56531753, 143.8835049","{""coordinates"": [143.8835049, -37.56531753], ""type"": ""Point""}",00212701,Bike Rack - Eureka Stockade,
"-37.55384703, 143.8426629","{""coordinates"": [143.8426629, -37.55384703], ""type"": ""Point""}",00212809,Bike Rack - Lake Wendouree Reserve,
"-37.570059, 143.8659531","{""coordinates"": [143.8659531, -37.570059], ""type"": ""Point""}",00213118,Bike Rack - Llanberris Athletics Reserve,
"-37.60211196, 143.844786","{""coordinates"": [143.844786, -37.60211196], ""type"": ""Point""}",00213182,Bike Rack - Marty Busch Reserve,
"-37.5631092, 143.85597246","{""coordinates"": [143.85597246, -37.5631092], ""type"": ""Point""}",00213375,Bike Rack - Phoenix Foundry Mall,
"-37.562706, 143.85599406","{""coordinates"": [143.85599406, -37.562706], ""type"": ""Point""}",00213381,Bike Rack - Phoenix Foundry Mall,
"-37.56314106, 143.85614094","{""coordinates"": [143.85614094, -37.56314106], ""type"": ""Point""}",00213391,Bike Rack - Phoenix Foundry Mall,
"-37.56313458, 143.8559451","{""coordinates"": [143.8559451, -37.56313458], ""type"": ""Point""}",00225583,Bike Rack - Phoenix Foundry Mall,
"-37.56316248, 143.85615606","{""coordinates"": [143.85615606, -37.56316248], ""type"": ""Point""}",00225602,Bike Rack - Phoenix Foundry Mall,
"-37.56799602, 143.85711996","{""coordinates"": [143.85711996, -37.56799602], ""type"": ""Point""}",00213757,Bike Rack - White Flat Oval Reserve,
"-37.59804306, 143.84103498","{""coordinates"": [143.84103498, -37.59804306], ""type"": ""Point""}",00256713,Bike Rack - Albert Street (Outside Chemist),
"-37.56273696, 143.85928698","{""coordinates"": [143.85928698, -37.56273696], ""type"": ""Point""}",00238918,Bike Rack - Albert Street (On Pole Outside on Track Fitness),
"-37.5626709, 143.86537494","{""coordinates"": [143.86537494, -37.5626709], ""type"": ""Point""}",00225187,Bike Rack - Bridge Mall,
"-37.56050568, 143.85917052","{""coordinates"": [143.85917052, -37.56050568], ""type"": ""Point""}",00225506,Bike Rack - Camp Street,
"-37.54388736, 143.78550498","{""coordinates"": [143.78550498, -37.54388736], ""type"": ""Point""}",00317467,Bike Rack - Coltman Plaza,
"-37.54370295, 143.7853248","{""coordinates"": [143.7853248, -37.54370295], ""type"": ""Point""}",00317481,Bike Rack - Coltman Plaza,
"-37.56206439, 143.8639965","{""coordinates"": [143.8639965, -37.56206439], ""type"": ""Point""}",00225192,Bike Rack - Curtis Street,
"-37.56399903, 143.85662208","{""coordinates"": [143.85662208, -37.56399903], ""type"": ""Point""}",00256814,Bike Rack - Dana Street (Curry Star),
"-37.5630138, 143.85310326","{""coordinates"": [143.85310326, -37.5630138], ""type"": ""Point""}",00224985,Bike Rack - Dawson Street South,
"-37.55820204, 143.85571308","{""coordinates"": [143.85571308, -37.55820204], ""type"": ""Point""}",00238906,Bike Rack - Doveton Street North (Ballarat Library),
"-37.56315798, 143.85442644","{""coordinates"": [143.85442644, -37.56315798], ""type"": ""Point""}",00224989,Bike Rack - Doveton Street South,
"-37.56270978, 143.85467106","{""coordinates"": [143.85467106, -37.56270978], ""type"": ""Point""}",00224997,Bike Rack - Doveton Street South,
"-37.56280806, 143.85450888","{""coordinates"": [143.85450888, -37.56280806], ""type"": ""Point""}",00256818,Bike Rack - Doveton Street South (Outside Oscars),
"-37.56027537, 143.86101966","{""coordinates"": [143.86101966, -37.56027537], ""type"": ""Point""}",00225220,Bike Rack - Grenville Street North,
"-37.56251547, 143.860698","{""coordinates"": [143.860698, -37.56251547], ""type"": ""Point""}",00225217,Bike Rack - Grenville Street South,
"-37.53085401, 143.831673","{""coordinates"": [143.831673, -37.53085401], ""type"": ""Point""}",00256704,Bike Rack - Harold Street (Outside Pizza Shop),
"-37.539981, 143.82798804","{""coordinates"": [143.82798804, -37.539981], ""type"": ""Point""}",00240868,Bike Rack - Howitt Street (Opposite Commonwealth Bank),
"-37.54024803, 143.82775296","{""coordinates"": [143.82775296, -37.54024803], ""type"": ""Point""}",00240869,Bike Rack - Howitt Street (Opposite Commonwealth Bank),
"-37.5600105, 143.8581672","{""coordinates"": [143.8581672, -37.5600105], ""type"": ""Point""}",00224601,Bike Rack - Lydiard Street North,
"-37.56115071, 143.85794796","{""coordinates"": [143.85794796, -37.56115071], ""type"": ""Point""}",00225318,Bike Rack - Lydiard Street North,
"-37.55950794, 143.8581492","{""coordinates"": [143.8581492, -37.55950794], ""type"": ""Point""}",00225329,Bike Rack - Lydiard Street North,
"-37.56105306, 143.8580799","{""coordinates"": [143.8580799, -37.56105306], ""type"": ""Point""}",00256302,Bike Rack - Lydiard Street North (Outside Mining Exchange),
"-37.56255399, 143.85757896","{""coordinates"": [143.85757896, -37.56255399], ""type"": ""Point""}",00256297,Bike Rack - Lydiard Street South (Outside Craig's Hotel),
"-37.56235014, 143.85765384","{""coordinates"": [143.85765384, -37.56235014], ""type"": ""Point""}",00316992,Bike Rack - Lydiard Street South (Outside Marks Corner),Stainless Steel Hoop
"-37.55911086, 143.85486636","{""coordinates"": [143.85486636, -37.55911086], ""type"": ""Point""}",00224323,Bike Rack - Mair Street (Outside State Government Offices),Stainless hoop
"-37.55973402, 143.85695994","{""coordinates"": [143.85695994, -37.55973402], ""type"": ""Point""}",00224603,Bike Rack - Mair Street,
"-37.55928762, 143.85499974","{""coordinates"": [143.85499974, -37.55928762], ""type"": ""Point""}",00225230,Bike Rack - Mair Street,
"-37.55961378, 143.85598956","{""coordinates"": [143.85598956, -37.55961378], ""type"": ""Point""}",00225241,Bike Rack - Mair Street,
"-37.55960505, 143.85600702","{""coordinates"": [143.85600702, -37.55960505], ""type"": ""Point""}",00225242,Bike Rack - Mair Street,
"-37.55960667, 143.8578108","{""coordinates"": [143.8578108, -37.55960667], ""type"": ""Point""}",00225326,Bike Rack - Mair Street,
"-37.55875914, 143.8483059","{""coordinates"": [143.8483059, -37.55875914], ""type"": ""Point""}",00317312,Bike Rack - Mair Street (Outside The Vine Cafe & 803 Mair St),Stainless steel hoop
"-37.56043278, 143.86391874","{""coordinates"": [143.86391874, -37.56043278], ""type"": ""Point""}",00225389,Bike Rack - Mair Street East,
"-37.560546, 143.86399794","{""coordinates"": [143.86399794, -37.560546], ""type"": ""Point""}",00256738,Bike Rack - Mair Street East (Outside Dulux Paint),
"-37.58210901, 143.84045106","{""coordinates"": [143.84045106, -37.58210901], ""type"": ""Point""}",00256709,Bike Rack - Rubicon Street (Outside the Globe Hotel),
"-37.56097008, 143.8517376","{""coordinates"": [143.8517376, -37.56097008], ""type"": ""Point""}",00224350,Bike Rack - Sturt Street (Outside Ballarat Property Group),Stainless steel hoop
"-37.56101832, 143.8507242","{""coordinates"": [143.8507242, -37.56101832], ""type"": ""Point""}",00224351,Bike Rack - Sturt Street (Outside Gull and Company),Stainless steel hoop
"-37.56091869, 143.84699406","{""coordinates"": [143.84699406, -37.56091869], ""type"": ""Point""}",00224355,Bike Rack - Sturt Street (Outside Jacks Wine and Spirit),Stainless steel hoop
"-37.5610995, 143.84847942","{""coordinates"": [143.84847942, -37.5610995], ""type"": ""Point""}",00224357,Bike Rack - Sturt Street (Outside Pinkos Pizza),Stainless steel hoop
"-37.56142503, 143.85073608","{""coordinates"": [143.85073608, -37.56142503], ""type"": ""Point""}",00224360,Bike Rack - Sturt Street (Outside Graduate School of Business),Stainless steel hoop
"-37.56043449, 143.8414974","{""coordinates"": [143.8414974, -37.56043449], ""type"": ""Point""}",00224364,Bike Rack - Sturt Street (Outside Western Hotel),Stainless steel hoop
"-37.56069144, 143.84472516","{""coordinates"": [143.84472516, -37.56069144], ""type"": ""Point""}",00224397,Bike Rack - Sturt Street (Outside Prime Television Building),Stainless steel hoop
"-37.56228102, 143.85873258","{""coordinates"": [143.85873258, -37.56228102], ""type"": ""Point""}",00224786,Bike Rack - Sturt Street,
"-37.56172212, 143.85376872","{""coordinates"": [143.85376872, -37.56172212], ""type"": ""Point""}",00224816,Bike Rack - Sturt Street,
"-37.56094308, 143.8470729","{""coordinates"": [143.8470729, -37.56094308], ""type"": ""Point""}",00224843,Bike Rack - Sturt Street,
"-37.56090348, 143.84666916","{""coordinates"": [143.84666916, -37.56090348], ""type"": ""Point""}",00224844,Bike Rack - Sturt Street,
"-37.56077424, 143.84563038","{""coordinates"": [143.84563038, -37.56077424], ""type"": ""Point""}",00224849,Bike Rack - Sturt Street,
"-37.56068271, 143.844741","{""coordinates"": [143.844741, -37.56068271], ""type"": ""Point""}",00224857,Bike Rack - Sturt Street,
"-37.56035556, 143.8422894","{""coordinates"": [143.8422894, -37.56035556], ""type"": ""Point""}",00224870,Bike Rack - Sturt Street,
"-37.56030687, 143.841591","{""coordinates"": [143.841591, -37.56030687], ""type"": ""Point""}",00224877,Bike Rack - Sturt Street,
"-37.55983275, 143.8417422","{""coordinates"": [143.8417422, -37.55983275], ""type"": ""Point""}",00224898,Bike Rack - Sturt Street,
"-37.5610203, 143.85171132","{""coordinates"": [143.85171132, -37.5610203], ""type"": ""Point""}",00224941,Bike Rack - Sturt Street,
"-37.56126618, 143.85373668","{""coordinates"": [143.85373668, -37.56126618], ""type"": ""Point""}",00224950,Bike Rack - Sturt Street,
"-37.56210516, 143.86050396","{""coordinates"": [143.86050396, -37.56210516], ""type"": ""Point""}",00224978,Bike Rack - Sturt Street,
"-37.56184299, 143.85905406","{""coordinates"": [143.85905406, -37.56184299], ""type"": ""Point""}",00256737,Bike Rack - Sturt Street (Outside Old State Bank of Victoria),
"-37.561311, 143.85108006","{""coordinates"": [143.85108006, -37.561311], ""type"": ""Point""}",00256798,Bike Rack - Sturt Street (Outside Petrie Real Estate),
"-37.56189402, 143.85439188","{""coordinates"": [143.85439188, -37.56189402], ""type"": ""Point""}",00256820,Bike Rack - Sturt Street (Outside Stephanie's on Sturt),
"-37.56113406, 143.84837718","{""coordinates"": [143.84837718, -37.56113406], ""type"": ""Point""}",00256823,Bike Rack - Sturt Street (Outside Such n Such),
"-37.56177, 143.85366396","{""coordinates"": [143.85366396, -37.56177], ""type"": ""Point""}",00256825,Bike Rack - Sturt Street (Outside Miss Behavin),
"-37.56150693, 143.85523104","{""coordinates"": [143.85523104, -37.56150693], ""type"": ""Point""}",00256856,Bike Rack - Sturt Street,
"-37.56205197, 143.86865508","{""coordinates"": [143.86865508, -37.56205197], ""type"": ""Point""}",00256859,Bike Rack - Victoria Street (Outside Bakers Delight),
"-37.64990853, 143.88409638","{""coordinates"": [143.88409638, -37.64990853], ""type"": ""Point""}",00225759,Bike Rack - Warrenheip St Buninyong (10m from roundabout),
